Date,Fav,Dog
2025-03-19,New York,San Antonio
2025-03-19,Utah,Washington
2025-03-19,Denver,LA Lakers
2025-03-19,Phoenix,Chicago
2025-03-19,Memphis,Portland
2025-03-19,Cleveland,Sacramento
2025-03-20,New York,Charlotte
2025-03-20,Indiana,Brooklyn
2025-03-20,Golden State,Toronto
2025-03-20,Sacramento,Chicago
2025-03-20,Milwaukee,LA Lakers
2025-03-21,Orlando,Washington
2025-03-21,Houston,Miami
2025-03-21,Minnesota,New Orleans
2025-03-21,Okla City,Charlotte
2025-03-21,San Antonio,Philadelphia
2025-03-21,Detroit,Dallas
2025-03-21,Boston,Utah
2025-03-21,Cleveland,Phoenix
2025-03-21,Portland,Denver
2025-03-21,LA Clippers,Memphis
2025-03-22,Indiana,Brooklyn
2025-03-22,Golden State,Atlanta
2025-03-22,New York,Washington
2025-03-22,Sacramento,Milwaukee
2025-03-22,LA Lakers,Chicago
2025-03-23,Atlanta,Philadelphia
2025-03-23,Miami,Charlotte
2025-03-23,Toronto,San Antonio
2025-03-23,Boston,Portland
2025-03-23,Houston,Denver
2025-03-23,Okla City,LA Clippers
2025-03-24,Indiana,Minnesota
2025-03-24,LA Lakers,Orlando
2025-03-24,Washington,Toronto
2025-03-24,Dallas,Brooklyn
2025-03-24,New Orleans,Philadelphia
2025-03-24,Denver,Chicago
2025-03-24,Phoenix,Milwaukee
2025-03-24,Boston,Sacramento
2025-03-25,Orlando,Charlotte
2025-03-25,Detroit,San Antonio
2025-03-25,Golden State,Miami
2025-03-25,New York,Dallas
2025-03-25,Houston,Atlanta
2025-03-25,Memphis,Utah
2025-03-25,Cleveland,Portland
2025-03-25,Okla City,Sacramento
2025-03-26,Philadelphia,Washington
2025-03-26,Brooklyn,Toronto
2025-03-26,LA Lakers,Indiana
2025-03-26,LA Clippers,New York
2025-03-26,Denver,Milwaukee
2025-03-26,Boston,Phoenix
2025-03-27,Cleveland,San Antonio
2025-03-27,Orlando,Dallas
2025-03-27,Indiana,Washington
2025-03-27,Miami,Atlanta
2025-03-27,LA Lakers,Chicago
2025-03-27,Okla City,Memphis
2025-03-27,Houston,Utah
2025-03-27,Sacramento,Portland
2025-03-28,Cleveland,Detroit
2025-03-28,LA Clippers,Brooklyn
2025-03-28,Toronto,Charlotte
2025-03-28,Milwaukee,New York
2025-03-28,Minnesota,Phoenix
2025-03-28,Golden State,New Orleans
2025-03-28,Denver,Utah
2025-03-29,Orlando,Sacramento
2025-03-29,Washington,Brooklyn
2025-03-29,Miami,Philadelphia
2025-03-29,Chicago,Dallas
2025-03-29,Memphis,LA Lakers
2025-03-29,Okla City,Indiana
2025-03-29,Boston,San Antonio
2025-03-30,Cleveland,LA Clippers
2025-03-30,New York,Portland
2025-03-30,Milwaukee,Atlanta
2025-03-30,Minnesota,Detroit
2025-03-30,New Orleans,Charlotte
2025-03-30,Golden State,San Antonio
2025-03-30,Toronto,Philadelphia
2025-03-30,Houston,Phoenix
2025-03-31,Charlotte,Utah
2025-03-31,Indiana,Sacramento
2025-03-31,LA Clippers,Orlando
2025-03-31,Miami,Washington
2025-03-31,Boston,Memphis
2025-03-31,Okla City,Chicago
2025-03-31,Dallas,Brooklyn
2025-03-31,LA Lakers,Houston
2025-04-01,Atlanta,Portland
2025-04-01,New York,Philadelphia
2025-04-01,Milwaukee,Phoenix
2025-04-01,Orlando,San Antonio
2025-04-01,Chicago,Toronto
2025-04-01,Golden State,Memphis
2025-04-01,Denver,Minnesota
2025-04-02,Cleveland,New York
2025-04-02,Indiana,Charlotte
2025-04-02,Sacramento,Washington
2025-04-02,Boston,Miami
2025-04-02,Houston,Utah
2025-04-02,Dallas,Atlanta
2025-04-02,Denver,San Antonio
2025-04-02,Okla City,Detroit
2025-04-02,LA Clippers,New Orleans
2025-04-03,Orlando,Washington
2025-04-03,Milwaukee,Philadelphia
2025-04-03,Minnesota,Brooklyn
2025-04-03,Memphis,Miami
2025-04-03,Portland,Toronto
2025-04-03,LA Lakers,Golden State
2025-04-04,Sacramento,Charlotte
2025-04-04,Indiana,Utah
2025-04-04,Boston,Phoenix
2025-04-04,Detroit,Toronto
2025-04-04,Chicago,Portland
2025-04-04,Okla City,Houston
2025-04-04,Cleveland,San Antonio
2025-04-04,Denver,Golden State
2025-04-04,LA Lakers,New Orleans
2025-04-04,LA Clippers,Dallas
2025-04-05,New York,Atlanta
2025-04-05,Memphis,Detroit
2025-04-05,Minnesota,Philadelphia
2025-04-05,Miami,Milwaukee
2025-04-05,LA Clippers,Dallas
2025-04-06,Chicago,Charlotte
2025-04-06,Toronto,Brooklyn
2025-04-06,Okla City,LA Lakers
2025-04-06,Atlanta,Utah
2025-04-06,Boston,Washington
2025-04-06,Cleveland,Sacramento
2025-04-06,Portland,San Antonio
2025-04-06,New York,Phoenix
2025-04-06,Denver,Indiana
2025-04-06,Golden State,Houston
2025-04-06,Milwaukee,New Orleans
2025-04-07,Detroit,Sacramento
2025-04-07,Miami,Philadelphia
2025-04-08,Memphis,Charlotte
2025-04-08,Cleveland,Chicago
2025-04-08,Indiana,Washington
2025-04-08,Orlando,Atlanta
2025-04-08,Brooklyn,New Orleans
2025-04-08,New York,Boston
2025-04-08,Minnesota,Milwaukee
2025-04-08,Okla City,LA Lakers
2025-04-08,Golden State,Phoenix
2025-04-08,LA Clippers,San Antonio
2025-04-09,Orlando,Boston
2025-04-09,Philadelphia,Washington
2025-04-09,Toronto,Charlotte
2025-04-09,LA Lakers,Dallas
2025-04-09,Miami,Chicago
2025-04-09,Portland,Utah
2025-04-09,Golden State,San Antonio
2025-04-09,Okla City,Phoenix
2025-04-09,Denver,Sacramento
2025-04-09,LA Clippers,Houston
2025-04-10,Detroit,New York
2025-04-10,Indiana,Cleveland
2025-04-10,Atlanta,Brooklyn
2025-04-10,Milwaukee,New Orleans
2025-04-10,Minnesota,Memphis
2025-04-11,Detroit,Milwaukee
2025-04-11,Indiana,Orlando
2025-04-11,Atlanta,Philadelphia
2025-04-11,Boston,Charlotte
2025-04-11,New York,Cleveland
2025-04-11,Chicago,Washington
2025-04-11,Miami,New Orleans
2025-04-11,Dallas,Toronto
2025-04-11,Minnesota,Brooklyn
2025-04-11,Denver,Memphis
2025-04-11,Okla City,Utah
2025-04-11,Phoenix,San Antonio
2025-04-11,Golden State,Portland
2025-04-11,LA Clippers,Sacramento
2025-04-11,LA Lakers,Houston
2025-04-13,Orlando,Atlanta
2025-04-13,Boston,Charlotte
2025-04-13,New York,Brooklyn
2025-04-13,Indiana,Cleveland
2025-04-13,Miami,Washington
2025-04-13,Chicago,Philadelphia
2025-04-13,Detroit,Milwaukee
2025-04-13,Denver,Houston
2025-04-13,Dallas,Memphis
2025-04-13,Minnesota,Utah
2025-04-13,Okla City,New Orleans
2025-04-13,San Antonio,Toronto
2025-04-13,Golden State,LA Clippers
2025-04-13,Portland,LA Lakers
2025-04-13,Sacramento,Phoenix
2025-10-21,Okla City,Houston
2025-10-21,Golden State,LA Lakers
2025-10-22,Cleveland,New York
2025-10-22,Charlotte,Brooklyn
2025-10-22,Orlando,Miami
2025-10-22,Atlanta,Toronto
2025-10-22,Boston,Philadelphia
2025-10-22,Detroit,Chicago
2025-10-22,Memphis,New Orleans
2025-10-22,Milwaukee,Washington
2025-10-22,LA Clippers,Utah
2025-10-22,Dallas,San Antonio
2025-10-22,Phoenix,Sacramento
2025-10-22,Minnesota,Portland
2025-10-23,Okla City,Indiana
2025-10-23,Golden State,Denver
2025-10-24,Toronto,Milwaukee
2025-10-24,Orlando,Atlanta
2025-10-24,Cleveland,Brooklyn
2025-10-24,New York,Boston
2025-10-24,Houston,Detroit
2025-10-24,Memphis,Miami
2025-10-24,San Antonio,New Orleans
2025-10-24,Dallas,Washington
2025-10-24,Minnesota,LA Lakers
2025-10-24,Golden State,Portland
2025-10-24,Sacramento,Utah
2025-10-24,LA Clippers,Phoenix
2025-10-25,Orlando,Chicago
2025-10-25,Okla City,Atlanta
2025-10-25,Philadelphia,Charlotte
2025-10-25,Memphis,Indiana
2025-10-25,Denver,Phoenix
2025-10-26,San Antonio,Brooklyn
2025-10-26,Detroit,Boston
2025-10-26,Cleveland,Milwaukee
2025-10-26,New York,Miami
2025-10-26,Washington,Charlotte
2025-10-26,Minnesota,Indiana
2025-10-26,Dallas,Toronto
2025-10-26,LA Clippers,Portland
2025-10-26,LA Lakers,Sacramento
2025-10-27,Cleveland,Detroit
2025-10-27,Orlando,Philadelphia
2025-10-27,Atlanta,Chicago
2025-10-27,Houston,Brooklyn
2025-10-27,New Orleans,Boston
2025-10-27,San Antonio,Toronto
2025-10-27,Okla City,Dallas
2025-10-27,Utah,Phoenix
2025-10-27,Denver,Minnesota
2025-10-27,Golden State,Memphis
2025-10-27,Portland,LA Lakers
